Image Path,Feature File01,Feature File02,Feature File1,Feature File2,Feature File3,artist,artist_label
/scratch/bbmr/syang7/art/wikiart/dataset/Impressionism/claude-monet_water-lilies-6.jpg,/scratch/bbmr/syang7/art/wikiart/comments_resnet/4/claude-monet_water-lilies-6.pt,/scratch/bbmr/syang7/art/wikiart/comments_resnet2/4/claude-monet_water-lilies-6.pt,/scratch/bbmr/syang7/art/wikiart/comments/4/claude-monet_water-lilies-6.pt,/scratch/bbmr/syang7/art/wikiart/comments_qwen/4/claude-monet_water-lilies-6.pt,/scratch/bbmr/syang7/art/wikiart/comments_share/4/claude-monet_water-lilies-6.pt,Claude_Monet,4
/scratch/bbmr/syang7/art/wikiart/dataset/Impressionism/claude-monet_banks-of-the-seine-at-jeufosse-autumn.jpg,/scratch/bbmr/syang7/art/wikiart/comments_resnet/4/claude-monet_banks-of-the-seine-at-jeufosse-autumn.pt,/scratch/bbmr/syang7/art/wikiart/comments_resnet2/4/claude-monet_banks-of-the-seine-at-jeufosse-autumn.pt,/scratch/bbmr/syang7/art/wikiart/comments/4/claude-monet_banks-of-the-seine-at-jeufosse-autumn.pt,/scratch/bbmr/syang7/art/wikiart/comments_qwen/4/claude-monet_banks-of-the-seine-at-jeufosse-autumn.pt,/scratch/bbmr/syang7/art/wikiart/comments_share/4/claude-monet_banks-of-the-seine-at-jeufosse-autumn.pt,Claude_Monet,4
/scratch/bbmr/syang7/art/wikiart/dataset/Impressionism/claude-monet_vetheuil-the-church-in-winter.jpg,/scratch/bbmr/syang7/art/wikiart/comments_resnet/4/claude-monet_vetheuil-the-church-in-winter.pt,/scratch/bbmr/syang7/art/wikiart/comments_resnet2/4/claude-monet_vetheuil-the-church-in-winter.pt,/scratch/bbmr/syang7/art/wikiart/comments/4/claude-monet_vetheuil-the-church-in-winter.pt,/scratch/bbmr/syang7/art/wikiart/comments_qwen/4/claude-monet_vetheuil-the-church-in-winter.pt,/scratch/bbmr/syang7/art/wikiart/comments_share/4/claude-monet_vetheuil-the-church-in-winter.pt,Claude_Monet,4
/scratch/bbmr/syang7/art/wikiart/dataset/Impressionism/claude-monet_jeanne-marguerite-lecadre-in-the-garden.jpg,/scratch/bbmr/syang7/art/wikiart/comments_resnet/4/claude-monet_jeanne-marguerite-lecadre-in-the-garden.pt,/scratch/bbmr/syang7/art/wikiart/comments_resnet2/4/claude-monet_jeanne-marguerite-lecadre-in-the-garden.pt,/scratch/bbmr/syang7/art/wikiart/comments/4/claude-monet_jeanne-marguerite-lecadre-in-the-garden.pt,/scratch/bbmr/syang7/art/wikiart/comments_qwen/4/claude-monet_jeanne-marguerite-lecadre-in-the-garden.pt,/scratch/bbmr/syang7/art/wikiart/comments_share/4/claude-monet_jeanne-marguerite-lecadre-in-the-garden.pt,Claude_Monet,4
/scratch/bbmr/syang7/art/wikiart/dataset/Impressionism/claude-monet_houses-of-parliament-fog-effect-1901.jpg,/scratch/bbmr/syang7/art/wikiart/comments_resnet/4/claude-monet_houses-of-parliament-fog-effect-1901.pt,/scratch/bbmr/syang7/art/wikiart/comments_resnet2/4/claude-monet_houses-of-parliament-fog-effect-1901.pt,/scratch/bbmr/syang7/art/wikiart/comments/4/claude-monet_houses-of-parliament-fog-effect-1901.pt,/scratch/bbmr/syang7/art/wikiart/comments_qwen/4/claude-monet_houses-of-parliament-fog-effect-1901.pt,/scratch/bbmr/syang7/art/wikiart/comments_share/4/claude-monet_houses-of-parliament-fog-effect-1901.pt,Claude_Monet,4
/scratch/bbmr/syang7/art/wikiart/dataset/Impressionism/claude-monet_rouen-cathedral-the-portal-in-the-sun.jpg,/scratch/bbmr/syang7/art/wikiart/comments_resnet/4/claude-monet_rouen-cathedral-the-portal-in-the-sun.pt,/scratch/bbmr/syang7/art/wikiart/comments_resnet2/4/claude-monet_rouen-cathedral-the-portal-in-the-sun.pt,/scratch/bbmr/syang7/art/wikiart/comments/4/claude-monet_rouen-cathedral-the-portal-in-the-sun.pt,/scratch/bbmr/syang7/art/wikiart/comments_qwen/4/claude-monet_rouen-cathedral-the-portal-in-the-sun.pt,/scratch/bbmr/syang7/art/wikiart/comments_share/4/claude-monet_rouen-cathedral-the-portal-in-the-sun.pt,Claude_Monet,4
/scratch/bbmr/syang7/art/wikiart/dataset/Impressionism/claude-monet_palazzo-dario-1908.jpg,/scratch/bbmr/syang7/art/wikiart/comments_resnet/4/claude-monet_palazzo-dario-1908.pt,/scratch/bbmr/syang7/art/wikiart/comments_resnet2/4/claude-monet_palazzo-dario-1908.pt,/scratch/bbmr/syang7/art/wikiart/comments/4/claude-monet_palazzo-dario-1908.pt,/scratch/bbmr/syang7/art/wikiart/comments_qwen/4/claude-monet_palazzo-dario-1908.pt,/scratch/bbmr/syang7/art/wikiart/comments_share/4/claude-monet_palazzo-dario-1908.pt,Claude_Monet,4
/scratch/bbmr/syang7/art/wikiart/dataset/Impressionism/claude-monet_rising-tide-at-pourville-1882.jpg,/scratch/bbmr/syang7/art/wikiart/comments_resnet/4/claude-monet_rising-tide-at-pourville-1882.pt,/scratch/bbmr/syang7/art/wikiart/comments_resnet2/4/claude-monet_rising-tide-at-pourville-1882.pt,/scratch/bbmr/syang7/art/wikiart/comments/4/claude-monet_rising-tide-at-pourville-1882.pt,/scratch/bbmr/syang7/art/wikiart/comments_qwen/4/claude-monet_rising-tide-at-pourville-1882.pt,/scratch/bbmr/syang7/art/wikiart/comments_share/4/claude-monet_rising-tide-at-pourville-1882.pt,Claude_Monet,4
/scratch/bbmr/syang7/art/wikiart/dataset/Impressionism/claude-monet_cliff-at-pourville-1.jpg,/scratch/bbmr/syang7/art/wikiart/comments_resnet/4/claude-monet_cliff-at-pourville-1.pt,/scratch/bbmr/syang7/art/wikiart/comments_resnet2/4/claude-monet_cliff-at-pourville-1.pt,/scratch/bbmr/syang7/art/wikiart/comments/4/claude-monet_cliff-at-pourville-1.pt,/scratch/bbmr/syang7/art/wikiart/comments_qwen/4/claude-monet_cliff-at-pourville-1.pt,/scratch/bbmr/syang7/art/wikiart/comments_share/4/claude-monet_cliff-at-pourville-1.pt,Claude_Monet,4
/scratch/bbmr/syang7/art/wikiart/dataset/Impressionism/claude-monet_houses-of-parliament-fog-effect.jpg,/scratch/bbmr/syang7/art/wikiart/comments_resnet/4/claude-monet_houses-of-parliament-fog-effect.pt,/scratch/bbmr/syang7/art/wikiart/comments_resnet2/4/claude-monet_houses-of-parliament-fog-effect.pt,/scratch/bbmr/syang7/art/wikiart/comments/4/claude-monet_houses-of-parliament-fog-effect.pt,/scratch/bbmr/syang7/art/wikiart/comments_qwen/4/claude-monet_houses-of-parliament-fog-effect.pt,/scratch/bbmr/syang7/art/wikiart/comments_share/4/claude-monet_houses-of-parliament-fog-effect.pt,Claude_Monet,4
